Region,Active
Autonomous Region in Muslim Mindanao,965
Cordillera Administrative Region,4213
Region XIII,3600
National Capital Region,46665
Region I,7557
Region II,6996
Region III,19469
Region IV-A,36759
Region IV-B,1568
Region IX,2139
Region V,2599
Region VI,7723
Region VII,6810
Region VIII,3187
Region X,4603
Region XI,7499
Region XII,4066
